query,data_source
average spend by users last month,"transactions, accounts"
average spend by users this year,"transactions, accounts"
monthly average spend by users,"transactions, accounts"
yearly average spend by users,"transactions, accounts"
total average spend by users in Q1,"transactions, accounts"
total average spend by users in Q2,"transactions, accounts"
total average spend by users in Q3,"transactions, accounts"
total average spend by users in Q4,"transactions, accounts"
transaction volume last month,transactions
transaction volume this year,transactions
monthly transaction volume,transactions
yearly transaction volume,transactions
total transaction volume in Q1,transactions
total transaction volume in Q2,transactions
total transaction volume in Q3,transactions
total transaction volume in Q4,transactions
number of transactions last month,transactions
number of transactions this year,transactions
monthly number of transactions,transactions
yearly number of transactions,transactions
total number of transactions in Q1,transactions
total number of transactions in Q2,transactions
total number of transactions in Q3,transactions
total number of transactions in Q4,transactions
account balance last month,accounts
account balance this year,accounts
monthly account balance,accounts
yearly account balance,accounts
total account balance in Q1,accounts
total account balance in Q2,accounts
total account balance in Q3,accounts
total account balance in Q4,accounts
active account count last month,accounts
active account count this year,accounts
monthly active account count,accounts
yearly active account count,accounts
total active account count in Q1,accounts
total active account count in Q2,accounts
total active account count in Q3,accounts
total active account count in Q4,accounts
new accounts last month,accounts
new accounts this year,accounts
monthly new accounts,accounts
yearly new accounts,accounts
total new accounts in Q1,accounts
total new accounts in Q2,accounts
total new accounts in Q3,accounts
total new accounts in Q4,accounts
total payment amount last month,payments
total payment amount this year,payments
monthly total payment amount,payments
yearly total payment amount,payments
total total payment amount in Q1,payments
total total payment amount in Q2,payments
total total payment amount in Q3,payments
total total payment amount in Q4,payments
average payment delay last month,payments
average payment delay this year,payments
monthly average payment delay,payments
yearly average payment delay,payments
total average payment delay in Q1,payments
total average payment delay in Q2,payments
total average payment delay in Q3,payments
total average payment delay in Q4,payments
number of late payments last month,payments
number of late payments this year,payments
monthly number of late payments,payments
yearly number of late payments,payments
total number of late payments in Q1,payments
total number of late payments in Q2,payments
total number of late payments in Q3,payments
total number of late payments in Q4,payments
transaction volume this year,transactions
total active account count in Q4,accounts
yearly transaction volume,transactions
yearly number of transactions,transactions
total number of transactions in Q4,transactions
total total payment amount in Q2,payments
total new accounts in Q3,accounts
monthly transaction volume,transactions
number of transactions this year,transactions
yearly active account count,accounts
total number of transactions in Q1,transactions
total new accounts in Q1,accounts
yearly number of late payments,payments
total average spend by users in Q1,"transactions, accounts"
total number of late payments in Q4,payments
total payment amount last month,payments
total average spend by users in Q4,"transactions, accounts"
total account balance in Q1,accounts
total transaction volume in Q4,transactions
monthly total payment amount,payments
total account balance in Q2,accounts
total total payment amount in Q4,payments
total account balance in Q3,accounts
average payment delay this year,payments
number of late payments this year,payments
monthly active account count,accounts
average spend by users this year,"transactions, accounts"
total average payment delay in Q2,payments
number of late payments last month,payments
yearly account balance,accounts
new accounts this year,accounts
total number of late payments in Q2,payments
total average spend by users in Q3,"transactions, accounts"
total new accounts in Q2,accounts
total active account count in Q2,accounts
transaction volume last month,transactions
monthly number of transactions,transactions
yearly average spend by users,"transactions, accounts"
total number of transactions in Q3,transactions
average payment delay last month,payments
total number of late payments in Q3,payments
yearly new accounts,accounts
average spend by users last month,"transactions, accounts"
yearly average payment delay,payments
active account count last month,accounts
total total payment amount in Q1,payments
total average payment delay in Q3,payments
yearly total payment amount,payments
total transaction volume in Q3,transactions
total number of transactions in Q2,transactions
new accounts last month,accounts
monthly average payment delay,payments
account balance this year,accounts
total transaction volume in Q2,transactions
total number of late payments in Q1,payments
total new accounts in Q4,accounts
total average payment delay in Q4,payments
number of transactions last month,transactions
total active account count in Q3,accounts
total account balance in Q4,accounts
total transaction volume in Q1,transactions
active account count this year,accounts
total active account count in Q1,accounts
monthly average spend by users,"transactions, accounts"
total average spend by users in Q2,"transactions, accounts"
monthly number of late payments,payments
total total payment amount in Q3,payments
monthly account balance,accounts
total payment amount this year,payments
monthly new accounts,accounts
account balance last month,accounts
total average payment delay in Q1,payments
total active account count in Q3,accounts
transaction volume this year,transactions
number of transactions last month,transactions
total transaction volume in Q2,transactions
total number of late payments in Q4,payments
total transaction volume in Q4,transactions
total payment amount this year,payments
total number of transactions in Q1,transactions
monthly number of transactions,transactions
total number of late payments in Q4,payments
total number of late payments in Q3,payments
